id,state,name,availability,usage,total,type,income,class,white,white_percent,white_type,black,black_percent,black_type,latino,latino_type,latino_percent,native,native_percent,native_type,asian,asian_percent,asian_type,hawaiian,hawaiian_percent,hawaiian_type,another,another_percent,another_type,multiracial,multiracial_percent,multiracial_type
01001,AL,Autauga County,0.81,0.28,55036,metro,55317,middle,41509,0.754215423,over,10419,0.189312450,over,1467,under,0.026655280,169,0.003070717,under,516,0.009375681,under,12,0.000218039,under,43,0.000781307,under,901,0.016371103,under
01003,AL,Baldwin County,0.88,0.3,203360,metro,52562,middle,168951,0.830797600,over,19238,0.094600708,under,9029,under,0.044399095,1528,0.007513769,over,1395,0.006859756,under,0,0,under,318,0.001563729,under,2901,0.014265342,under
01005,AL,Barbour County,0.59,0.18,26201,micro,33368,low,11985,0.457425289,under,12528,0.478149689,over,1104,under,0.042135796,46,0.001755658,under,152,0.005801305,under,0,0,under,176,0.006717301,over,210,0.008014961,under
01007,AL,Bibb County,0.29,0.07,22580,micro,43404,middle,16849,0.746191320,over,4959,0.219619132,over,531,under,0.023516386,82,0.003631532,under,0,0,under,0,0,under,0,0,under,159,0.007041630,under
01009,AL,Blount County,0.69,0.09,57667,metro,47412,middle,50381,0.873653910,over,879,0.015242686,under,5197,under,0.090120866,193,0.003346801,under,84,0.001456639,under,0,0,under,126,0.002184958,under,807,0.013994139,under
01011,AL,Bullock County,0.06,0.05,10478,micro,29655,low,2264,0.216071769,under,7925,0.756346631,over,35,under,0.003340332,110,0.010498187,over,73,0.006966978,under,0,0,under,2,0.000190876,under,69,0.006585226,under
01013,AL,Butler County,0.78,0.11,20126,micro,36326,low,10515,0.522458511,under,8998,0.447083375,over,64,under,0.003179966,13,0.000645931,under,224,0.011129882,under,0,0,under,14,0.000695618,under,298,0.014806718,under
01015,AL,Calhoun County,0.93,0.32,115527,metro,43686,middle,84006,0.727154691,over,23553,0.203874419,over,4121,under,0.035671315,213,0.001843725,under,1149,0.009945727,under,7,6.059189627e-05,under,48,0.000415487,under,2430,0.021034044,under
01017,AL,Chambers County,0.82,0.34,33895,micro,37342,low,19045,0.561882284,under,13335,0.393420859,over,730,under,0.021537100,95,0.002802773,under,339,0.010001475,under,0,0,under,17,0.000501549,under,334,0.009853961,under
01019,AL,Cherokee County,0.99,0.1,25855,micro,40041,low,23731,0.917849546,over,1287,0.049777606,under,409,under,0.015818991,125,0.004834655,under,33,0.001276349,under,0,0,under,0,0,under,270,0.010442854,under
01021,AL,Chilton County,0.66,0.05,43805,micro,43501,middle,35207,0.803721036,over,4154,0.094829357,under,3371,under,0.076954686,175,0.003994978,under,187,0.004268919,under,0,0,under,39,0.000890309,under,672,0.015340715,under
01023,AL,Choctaw County,0.23,0.02,13188,micro,32122,low,7420,0.562632696,under,5553,0.421064604,over,71,under,0.005383682,4,0.000303306,under,8,0.000606612,under,0,0,under,2,0.000151653,under,130,0.009857446,under
01025,AL,Clarke County,0.63,0.05,24625,micro,33827,low,13057,0.530233503,under,11246,0.456690355,over,58,under,0.002355330,14,0.000568528,under,127,0.005157360,under,22,0.000893401,under,0,0,under,101,0.004101523,under
01027,AL,Clay County,0.4,0.13,13407,micro,37287,low,10753,0.802043709,over,1972,0.147087342,over,417,under,0.031103155,115,0.008577609,over,6,0.000447527,under,0,0,under,23,0.001715522,under,121,0.009025136,under
01029,AL,Cleburne County,0.13,0.05,14939,micro,37396,low,13842,0.926568043,over,424,0.028382087,under,356,under,0.023830243,43,0.002878372,under,81,0.005422050,under,0,0,under,8,0.000535511,under,185,0.012383694,under
01031,AL,Coffee County,0.9,0.39,51073,metro,49821,middle,36261,0.709983749,over,8755,0.171421299,over,3402,under,0.066610538,528,0.010338143,over,659,0.012903099,under,0,0,under,6,0.000117479,under,1462,0.028625693,over
01033,AL,Colbert County,0.8,0.26,54435,metro,45477,middle,42877,0.787673372,over,8676,0.159382750,over,1313,under,0.024120511,404,0.007421696,over,246,0.004519151,under,19,0.000349040,under,31,0.000569487,under,869,0.015963994,under
01035,AL,Conecuh County,0.4,0.05,12649,micro,30434,low,6362,0.502964661,under,5855,0.462882441,over,231,under,0.018262313,21,0.001660210,under,4,0.000316231,under,0,0,under,2,0.000158115,under,174,0.013756028,under
01037,AL,Coosa County,0.76,0.09,10955,micro,34792,low,7150,0.652670014,over,3640,0.332268371,over,16,under,0.001460520,8,0.000730260,under,0,0,under,0,0,under,0,0,under,141,0.012870835,under
01039,AL,Covington County,0.84,0.2,37519,micro,39467,low,31320,0.834777046,over,4879,0.130040779,over,586,under,0.015618753,124,0.003304992,under,154,0.004104587,under,8,0.000213225,under,0,0,under,448,0.011940617,under
01041,AL,Crenshaw County,0.75,0.1,13866,micro,38937,low,9872,0.711957306,over,3209,0.231429396,over,253,under,0.018246070,108,0.007788836,over,194,0.013991057,under,0,0,under,2,0.000144238,under,228,0.016443098,under
01043,AL,Cullman County,0.77,0.27,81703,metro,40997,low,75434,0.923270871,over,900,0.011015507,under,3466,under,0.042421943,350,0.004283808,under,528,0.006462431,under,0,0,under,63,0.000771086,under,962,0.011774353,under
01045,AL,Dale County,0.93,0.27,49393,micro,44711,middle,34306,0.694551860,over,9485,0.192031259,over,2994,under,0.060615877,241,0.004879234,under,448,0.009070111,under,9,0.000182212,under,189,0.003826453,over,1721,0.034842994,over
01047,AL,Dallas County,0.76,0.19,40755,micro,30065,low,11306,0.277413814,under,28603,0.701827997,over,409,under,0.010035578,16,0.000392590,under,183,0.004490247,under,6,0.000147221,under,0,0,under,232,0.005692553,under
01049,AL,DeKalb County,0.98,0.3,71194,metro,38842,low,57507,0.807750653,over,1009,0.014172543,under,10178,under,0.142961486,876,0.012304408,over,208,0.002921595,under,83,0.001165829,under,8,0.000112369,under,1325,0.018611119,under
01051,AL,Elmore County,0.92,0.37,80989,metro,54981,middle,59460,0.734173777,over,17180,0.212127573,over,2316,under,0.028596476,232,0.002864587,under,461,0.005692131,under,0,0,under,203,0.002506513,over,1137,0.014038944,under
01053,AL,Escambia County,0.74,0.14,37621,micro,35026,low,22661,0.602349751,under,12107,0.321814944,over,809,under,0.021503947,1368,0.036362670,over,149,0.003960554,under,54,0.001435369,under,46,0.001222721,under,427,0.011350044,under
01055,AL,Etowah County,0.96,0.32,103132,metro,42064,low,80750,0.782977155,over,15847,0.153657449,over,3794,under,0.036787806,503,0.004877245,under,706,0.006845596,under,71,0.000688438,under,86,0.000833883,under,1375,0.013332428,under
01057,AL,Fayette County,0.38,0.06,16657,micro,36541,low,14163,0.850273158,over,1917,0.115086750,under,277,under,0.016629645,0,0,under,78,0.004682716,under,0,0,under,0,0,under,222,0.013327730,under
01059,AL,Franklin County,0.64,0.12,31507,micro,39501,low,24474,0.776779763,over,1471,0.046688038,under,5146,under,0.163328784,52,0.001650427,under,117,0.003713461,under,32,0.001015647,under,14,0.000444346,under,201,0.006379535,under
01061,AL,Geneva County,0.54,0.07,26572,micro,39293,low,22318,0.839906669,over,2440,0.091825982,under,1004,under,0.037784134,162,0.006096643,under,106,0.003989162,under,0,0,under,0,0,under,542,0.020397411,under
01063,AL,Greene County,0,0.02,8533,neither,20954,low,1459,0.170983242,under,6851,0.802882925,over,101,under,0.011836400,54,0.006328372,under,0,0,under,0,0,under,0,0,under,68,0.007969061,under
01065,AL,Hale County,0.54,0.09,14995,micro,34679,low,5925,0.395131711,under,8795,0.586528843,over,196,under,0.013071024,25,0.001667222,under,26,0.001733911,under,0,0,under,21,0.001400467,under,7,0.000466822,under
01067,AL,Henry County,0.59,0.07,17110,micro,45569,middle,11757,0.687142022,over,4762,0.278316774,over,435,under,0.025423729,5,0.000292227,under,0,0,under,0,0,under,0,0,under,151,0.008825248,under
01069,AL,Houston County,0.87,0.39,104108,metro,42803,low,69963,0.672023284,over,27576,0.264878780,over,3366,under,0.032331809,322,0.003092942,under,874,0.008395128,under,16,0.000153687,under,95,0.000912514,under,1896,0.018211857,under
01071,AL,Jackson County,0.83,0.27,52326,metro,39281,low,46738,0.893207965,over,1699,0.032469518,under,1493,under,0.028532661,516,0.009861254,over,238,0.004548408,under,53,0.001012881,under,129,0.002465314,over,1460,0.027901999,over
01073,AL,Jefferson County,0.99,0.38,659460,metro,49321,middle,332267,0.503847087,under,279928,0.424480636,over,24692,under,0.037442756,1224,0.001856064,under,10093,0.015304946,under,174,0.000263852,under,1535,0.002327662,over,9547,0.014476996,under
01075,AL,Lamar County,0.34,0.05,14021,micro,36016,low,12061,0.860209685,over,1520,0.108408815,under,212,under,0.015120177,45,0.003209472,under,0,0,under,0,0,under,100,0.007132159,over,83,0.005919692,under
01077,AL,Lauderdale County,0.79,0.23,92590,metro,44888,middle,78605,0.848957771,over,9103,0.098315153,under,2285,under,0.024678691,339,0.003661303,under,626,0.006760989,under,23,0.000248407,under,189,0.002041257,under,1420,0.015336429,under
01079,AL,Lawrence County,0.55,0.11,33288,micro,43779,middle,25492,0.765801490,over,3801,0.114185292,under,701,under,0.021058640,1730,0.051970680,over,18,0.000540735,under,0,0,under,0,0,under,1546,0.046443163,over
01081,AL,Lee County,0.96,0.4,156597,metro,47564,middle,105864,0.676028276,over,35923,0.229397753,over,5813,under,0.037120762,145,0.000925944,under,5873,0.037503911,under,0,0,under,438,0.002796988,over,2541,0.016226364,under
01083,AL,Limestone County,0.91,0.43,91695,metro,52831,middle,70776,0.771863242,over,11989,0.130748678,over,5323,under,0.058051148,662,0.007219587,over,1143,0.012465238,under,11,0.000119963,under,0,0,under,1791,0.019532145,under
01085,AL,Lowndes County,0.13,0.05,10362,micro,29785,low,2515,0.242713762,under,7708,0.743871839,over,71,under,0.006851959,9,0.000868558,under,0,0,under,0,0,under,0,0,under,59,0.005693881,under
01087,AL,Macon County,0.61,0.11,19358,micro,32308,low,2992,0.154561422,under,15772,0.814753590,over,315,under,0.016272342,43,0.002221304,under,38,0.001963013,under,0,0,under,67,0.003461101,over,131,0.006767228,under
01089,AL,Madison County,0.96,0.63,353213,metro,61318,middle,230104,0.651459601,over,84675,0.239727870,over,16734,under,0.047376512,2018,0.005713266,under,8957,0.025358636,under,316,0.000894644,under,970,0.002746218,over,9439,0.026723252,over
01091,AL,Marengo County,0.13,0.06,19743,micro,32255,low,8909,0.451248544,under,10689,0.541407081,over,88,under,0.004457276,11,0.000557159,under,0,0,under,0,0,under,9,0.000455858,under,37,0.001874082,under
01093,AL,Marion County,0.48,0.23,30058,micro,35719,low,27637,0.919455719,over,963,0.032038060,under,741,under,0.024652339,128,0.004258434,under,96,0.003193825,under,0,0,under,0,0,under,493,0.016401624,under
01095,AL,Marshall County,0.95,0.4,94738,metro,41104,low,77467,0.817697228,over,2084,0.021997509,under,12600,under,0.132998374,439,0.004633832,under,534,0.005636598,under,48,0.000506660,under,51,0.000538327,under,1515,0.015991471,under
